date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1978:Q4;5.87;3.95;4.91;4.32;0.59;5.03;0.15;;0.15;0.32;0.26;1.04;-0.77;2.8;0.24;2.41;-0.4;2.69;0.53;-0.28;-0.92
1979:Q1;0.5;3.61;2.06;2.81;-0.75;5.39;0.21;;0.21;0.32;-1.72;-0.63;-1.09;0.57;0.24;-1.29;-1.86;-0.87;-0.56;-0.42;-1.3
1979:Q2;0.48;-2.62;-1.07;0.87;-1.94;5.52;0.22;1.12;1.12;0.31;-4.17;-9.27;5.1;4.08;0.23;-1.04;-5.12;-25.24;-4.43;24.2;-0.69
1979:Q3;3.53;0.38;1.95;3.58;-1.63;5.39;0.22;-0.9;-0.9;0.31;-1.57;3.88;-5.45;2.58;0.23;0.4;-2.18;7.14;2.88;-6.74;-5.06
1979:Q4;0.58;1.28;0.93;1.47;-0.54;5.45;0.22;-0.23;-0.23;0.31;-1.6;-0.93;-0.67;-0.03;0.23;-1.63;-1.6;-3;-0.32;1.37;-1.28
1980:Q1;0.71;-1.36;-0.32;-1.88;1.56;5.32;0.22;0.04;0.04;0.3;-0.66;-8.99;8.33;-2.13;0.23;-2.3;-0.17;-7.36;-9.47;5.06;9.31
1980:Q2;-11.4;-9.16;-10.28;-7.06;-3.22;5.14;0.31;1.02;1.02;0.3;-7.63;-5.09;-2.54;-0.83;0.22;-8.28;-7.45;-18.22;-1.43;9.93;-6.02
1980:Q3;-0.99;3.49;1.25;-1.49;2.74;4.35;0.39;0.93;0.93;0.3;0.32;2.31;-2;1.4;0.22;1.41;0;6.3;1.17;-4.89;-1.16
1980:Q4;9.41;11.76;10.58;5.44;5.14;4.06;0.48;0.55;0.55;0.31;5.19;9.06;-3.87;4.68;0.22;8.83;4.15;21.21;5.6;-12.38;-1.45
1981:Q1;9.73;3.46;6.59;2.26;4.33;4.1;0.56;-0.12;-0.12;0.32;3.84;-0.91;4.75;5.13;0.22;7.84;2.71;-5.7;0.44;13.54;2.27
1981:Q2;-4.1;-0.08;-2.09;-0.47;-1.62;4.62;0.55;0.09;0.09;0.32;-3.31;0.73;-4.04;-0.6;0.22;-3.78;-3.17;3.78;-0.12;-7.56;-3.05
1981:Q3;5.54;6.74;6.14;0.06;6.08;4.48;0.53;0.22;0.22;0.32;4.51;-4.05;8.56;2.67;0.22;6.58;3.92;-4.83;-3.83;11.42;7.75
1981:Q4;-6.4;-6.12;-6.26;-1.54;-4.72;4.86;0.51;0.86;0.86;0.32;-7.36;-5.55;-1.81;0.76;0.22;-6.76;-7.52;-8.83;-4.64;2.07;-2.89
1982:Q1;-8.6;-4.61;-6.6;-6.87;0.26;4.97;0.5;1.85;1.85;0.32;-4.78;-6.79;2.01;2.02;0.22;-3.21;-5.23;-15.41;-4.33;12.2;-0.9
1982:Q2;1.81;1.33;1.57;1.29;0.29;4.31;0.5;1.03;1.03;0.32;-1.38;1.56;-2.94;1.32;0.22;-0.34;-1.66;8.34;-0.31;-8.68;-1.35
1982:Q3;-2.54;-2.58;-2.56;-2.58;0.02;3.47;0.5;1.07;1.07;0.32;-2.64;0.04;-2.67;3.87;0.22;0.4;-3.47;-2.98;0.87;3.38;-4.34
1982:Q4;-0.33;-2.83;-1.58;-3.77;2.19;2.8;0.51;-0.04;-0.04;0.32;0.11;-0.66;0.77;2.39;0.22;1.98;-0.41;-0.66;-0.65;2.64;0.24
1983:Q1;5.9;4.66;5.28;2.21;3.08;1.87;0.51;1.46;1.46;0.32;2.2;3.72;-1.52;1.86;0.21;3.66;1.8;11.18;1.68;-7.52;0.12
1983:Q2;11.07;8.05;9.56;4.21;5.35;2.3;0.45;0.36;0.36;0.33;5.73;7.07;-1.33;2.37;0.22;7.58;5.21;12.4;5.56;-4.82;-0.35
1983:Q3;9.71;6.58;8.15;8.05;0.1;3.15;0.39;0.27;0.27;0.33;1.53;6.26;-4.73;4.07;0.22;4.69;0.62;12.49;4.47;-7.81;-3.85
1983:Q4;9.99;11.27;10.63;6.41;4.22;4.1;0.32;0.29;0.29;0.33;4.8;4.22;0.57;1.34;0.23;5.83;4.49;7.2;3.33;-1.37;1.16
1984:Q1;9.85;13.78;11.81;7.68;4.13;5.24;0.26;-0.59;-0.59;0.33;5.34;2.06;3.28;3.62;0.23;8.13;4.51;3.13;1.74;4.99;2.77
1984:Q2;8.53;8.06;8.3;4.99;3.3;5.31;0.25;-0.43;-0.43;0.34;3.48;0.02;3.46;1.83;0.23;4.88;3.06;-2.93;0.91;7.81;2.15
1984:Q3;3.94;4.39;4.17;1.83;2.34;5.26;0.23;1.15;1.15;0.34;0.42;-1.21;1.63;2.99;0.23;2.71;-0.27;-4;-0.37;6.71;0.09
1984:Q4;3.12;4.53;3.83;2.25;1.57;5.14;0.22;1.35;1.35;0.34;-0.3;-1.86;1.56;2.39;0.24;1.53;-0.86;-1.68;-1.92;3.21;1.06
1985:Q1;4.71;4.13;4.42;3;1.42;4.74;0.2;-1.59;-1.59;0.34;1.89;-2.76;4.65;4.05;0.23;4.99;0.94;-6.72;-1.54;11.7;2.48
1985:Q2;3.85;2.98;3.41;2.22;1.19;4.41;0.25;2.33;2.33;0.33;-1.09;0.42;-1.51;1.25;0.24;-0.14;-1.39;1.89;-0.04;-2.03;-1.35
1985:Q3;6.93;5.31;6.12;0.57;5.55;4.5;0.29;0.18;0.18;0.33;4.13;1.2;2.93;2.29;0.24;5.88;3.58;2.1;0.92;3.78;2.66
1985:Q4;2.91;1.97;2.44;1.63;0.81;4.16;0.33;0.18;0.18;0.33;-0.13;1.25;-1.38;0.23;0.23;0.05;-0.19;3.68;0.5;-3.63;-0.69
1986:Q1;3.91;4.19;4.05;0.11;3.94;4.47;0.38;-0.18;-0.18;0.32;2.66;-1.1;3.76;1.29;0.23;3.65;2.37;-2.76;-0.59;6.41;2.96
1986:Q2;1.56;0.65;1.1;-1.07;2.17;4.18;0.36;0.5;0.5;0.32;0.17;-3.23;3.4;-2.32;0.24;-1.6;0.72;-7.12;-2.02;5.51;2.74
